Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
30.17725	1.280	-0.000
30.1775	1.581	0.001
30.17775	1.589	0.001
30.178	1.340	0.000
30.17825	0.844	0.000
30.1785	0.004	0.000
30.17875	-1.214	0.000
30.179	-2.571	0.000
30.17925	-3.640	0.000
30.1795	-4.115	0.000
30.17975	-3.979	0.000
30.18	-3.397	-0.000
30.18025	-2.550	0.000
30.1805	-1.578	0.000
30.18075	-0.605	0.000
30.181	0.261	0.000
30.18125	0.957	-0.000
30.1815	1.470	0.000
30.18175	1.823	0.000
30.182	2.065	-0.000
30.18225	2.236	0.000
30.1825	2.356	0.000
30.18275	2.443	0.000
30.183	2.518	0.000
30.18325	2.597	0.000
30.1835	2.674	0.000
30.18375	2.722	0.000
30.184	2.704	0.000
30.18425	2.585	0.000
30.1845	2.355	0.000
30.18475	2.057	0.000
30.185	1.750	-0.000
30.18525	1.459	0.000
30.1855	1.186	0.000
30.18575	0.958	0.000
30.186	0.798	-0.000
30.18625	0.649	0.000
30.1865	0.404	4.955
30.18675	0.057	4.957
30.187	-0.263	0.001
